station_id,route_id,day_of_week,hour,station_daily_boarding_avg,hour_demand_ratio,route_share,vehicles_per_hour,expected_boardings_at_stop,source,created_at
228000101,5000001,0,0,1890.0,0.01,0.125,6.0,0.39375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,1,1890.0,0.006,0.125,6.0,0.23625,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,2,1890.0,0.004,0.125,6.0,0.1575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,3,1890.0,0.003,0.125,6.0,0.118125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,4,1890.0,0.004,0.125,6.0,0.1575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,5,1890.0,0.015,0.125,6.0,0.590625,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,6,1890.0,0.045,0.125,6.0,1.771875,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,7,1890.0,0.09,0.125,6.0,3.54375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,8,1890.0,0.105,0.125,6.0,4.134375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,9,1890.0,0.065,0.125,6.0,2.559375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,10,1890.0,0.04,0.125,6.0,1.575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,11,1890.0,0.035,0.125,6.0,1.378125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,12,1890.0,0.04,0.125,6.0,1.575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,13,1890.0,0.035,0.125,6.0,1.378125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,14,1890.0,0.035,0.125,6.0,1.378125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,15,1890.0,0.045,0.125,6.0,1.771875,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,16,1890.0,0.06,0.125,6.0,2.3625,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,17,1890.0,0.09,0.125,6.0,3.54375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,18,1890.0,0.105,0.125,6.0,4.134375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,19,1890.0,0.075,0.125,6.0,2.953125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,20,1890.0,0.045,0.125,6.0,1.771875,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,21,1890.0,0.035,0.125,6.0,1.378125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,22,1890.0,0.025,0.125,6.0,0.984375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,0,23,1890.0,0.015,0.125,6.0,0.590625,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,0,1890.0,0.01,0.125,6.0,0.39375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,1,1890.0,0.006,0.125,6.0,0.23625,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,2,1890.0,0.004,0.125,6.0,0.1575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,3,1890.0,0.003,0.125,6.0,0.118125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,4,1890.0,0.004,0.125,6.0,0.1575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,5,1890.0,0.015,0.125,6.0,0.590625,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,6,1890.0,0.045,0.125,6.0,1.771875,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,7,1890.0,0.09,0.125,6.0,3.54375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,8,1890.0,0.105,0.125,6.0,4.134375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,9,1890.0,0.065,0.125,6.0,2.559375,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,10,1890.0,0.04,0.125,6.0,1.575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,11,1890.0,0.035,0.125,6.0,1.378125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,12,1890.0,0.04,0.125,6.0,1.575,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,13,1890.0,0.035,0.125,6.0,1.378125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,14,1890.0,0.035,0.125,6.0,1.378125,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
228000101,5000001,1,15,1890.0,0.045,0.125,6.0,1.771875,station_daily_avg*hour_ratio*route_share/vehicles_per_hour,2026-05-20T18:00:09+00:00
